# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.240403  1.915462  -7.996794e-01
  0.240403  1.976270  -6.855348e-01
  0.240403  2.037079  4.883856e-02
  0.240403  2.097887  5.505427e-01
  0.240403  2.158695  3.612189e-01
  0.240403  2.219504  -1.698871e-01
  0.240403  2.280312  -2.028911e-01
  0.240403  2.341120  5.033337e-01
  0.240403  2.401929  4.522830e-01
  0.240403  2.462737  2.710310e-01
  0.240403  2.523545  3.993900e-01
  0.240403  2.584354  1.055402e+00
  0.240403  2.645162  8.190215e-01
  0.240403  2.705970  4.857033e-01
  0.240403  2.766779  5.806028e-01
  0.240403  2.827587  3.368093e-01
  0.240403  2.888395  -1.507305e-01
  0.240403  2.949204  -4.054173e-01
  0.240403  3.010012  -5.248357e-01
  0.240403  3.070820  -7.721569e-01
  0.240403  3.131629  -5.261359e-01
  0.240403  3.192437  -1.190004e-01
  0.240403  3.253245  -1.232697e-01
  0.240403  3.314053  -2.630087e-01
  0.240403  3.374862  -2.923821e-01
  0.240403  3.435670  1.849868e-01
  0.240403  3.496478  4.939950e-01
  0.240403  3.557287  2.235537e-01
  0.240403  3.618095  5.080470e-01
  0.240403  3.678903  9.107792e-01
  0.240403  3.739712  9.301036e-01
  0.240403  3.800520  7.103368e-01
  0.240403  3.861328  5.851719e-01
  0.240403  3.922137  4.477453e-01
  0.240403  3.982945  4.380607e-01
  0.240403  4.043753  4.568248e-01
  0.240403  4.104562  4.539718e-01
  0.240403  4.165370  4.083693e-01
  0.240403  4.226178  3.984084e-01
  0.240403  4.286987  4.894264e-01
  0.240403  4.347795  4.704877e-01
  0.240403  4.408603  4.606935e-01
  0.240403  4.469412  4.623156e-01
  0.240403  4.530220  4.745810e-01
  0.240403  4.591028  3.185866e-01
  0.240403  4.651837  2.329783e-01
  0.240403  4.712645  2.744805e-01
  0.240403  4.773453  3.916886e-01
  0.240403  4.834262  4.631503e-01
  0.240403  4.895070  5.241226e-01
  0.240403  4.955878  5.414867e-01
  0.240403  5.016686  5.379473e-01
  0.240403  5.077495  5.813120e-01
  0.240403  5.138303  6.188123e-01
  0.240403  5.199111  5.716013e-01
  0.240403  5.259920  5.658742e-01
  0.240403  5.320728  5.328237e-01
  0.240403  5.381536  3.999357e-01
  0.240403  5.442345  2.590733e-01
  0.240403  5.503153  1.105057e-01
  0.240403  5.563961  5.686599e-02
  0.240403  5.624770  1.455064e-01
  0.240403  5.685578  1.647820e-01
  0.240403  5.746386  7.742333e-02
  0.240403  5.807195  8.964634e-02
  0.240403  5.868003  2.008307e-01
  0.240403  5.928811  2.008836e-01
  0.240403  5.989620  1.657187e-01
  0.240403  6.050428  2.047664e-01
  0.240403  6.111236  8.325458e-02
  0.240403  6.172045  -8.078026e-02
  0.240403  6.232853  9.539694e-02
  0.240403  6.293661  2.045428e-01
  0.240403  6.354470  3.561463e-01
  0.240403  6.415278  2.221835e-01
  0.240403  6.476086  -2.000378e-01
  0.240403  6.536894  -2.775111e-01
